Feature,Importance
CustomerID_C2957,0
CustomerID_C2956,0
CustomerID_C2955,0
CustomerID_C2954,0
CustomerID_C2953,0
CustomerID_C2952,0
CustomerID_C2950,0
CustomerID_C2960,0
CustomerID_C2949,0
CustomerID_C2948,0
CustomerID_C2947,0
CustomerID_C2946,0
CustomerID_C2945,0
CustomerID_C2944,0
CustomerID_C2943,0
CustomerID_C2959,0
CustomerID_C2961,0
CustomerID_C2903,0
CustomerID_C2971,0
CustomerID_C2978,0
CustomerID_C2977,0
CustomerID_C2976,0
CustomerID_C2975,0
CustomerID_C2974,0
CustomerID_C2973,0
CustomerID_C2972,0
CustomerID_C2970,0
CustomerID_C2962,0
CustomerID_C2969,0
CustomerID_C2968,0
CustomerID_C2967,0
CustomerID_C2966,0
CustomerID_C2965,0
CustomerID_C2964,0
CustomerID_C2963,0
CustomerID_C2942,0
CustomerID_C2941,0
CustomerID_C2940,0
CustomerID_C2912,0
CustomerID_C2919,0
CustomerID_C2918,0
CustomerID_C2917,0
CustomerID_C2916,0
CustomerID_C2915,0
CustomerID_C2914,0
CustomerID_C2913,0
CustomerID_C2911,0
CustomerID_C2939,0
CustomerID_C2910,0
CustomerID_C2909,0
CustomerID_C2908,0
CustomerID_C2907,0
CustomerID_C2906,0
CustomerID_C2905,0
CustomerID_C2904,0
CustomerID_C2920,0
CustomerID_C2921,0
CustomerID_C2922,0
CustomerID_C2923,0
CustomerID_C2938,0
CustomerID_C2937,0
CustomerID_C2936,0
CustomerID_C2935,0
CustomerID_C2934,0
CustomerID_C2933,0
CustomerID_C2932,0
CustomerID_C2931,0
CustomerID_C2930,0
CustomerID_C2929,0
CustomerID_C2928,0
CustomerID_C2927,0
CustomerID_C2926,0
CustomerID_C2925,0
CustomerID_C2924,0
CustomerID_C2824,0
CustomerID_C2822,0
CustomerID_C3294,0
CustomerID_C2714,0
CustomerID_C2721,0
CustomerID_C2720,0
CustomerID_C2719,0
CustomerID_C2718,0
CustomerID_C2717,0
CustomerID_C2716,0
CustomerID_C2715,0
CustomerID_C2713,0
CustomerID_C2723,0
CustomerID_C2712,0
CustomerID_C2711,0
CustomerID_C2710,0
CustomerID_C2709,0
CustomerID_C2708,0
CustomerID_C2707,0
CustomerID_C2706,0
CustomerID_C2722,0
CustomerID_C2724,0
CustomerID_C2743,0
CustomerID_C2734,0
CustomerID_C2741,0
CustomerID_C2740,0
CustomerID_C2739,0
CustomerID_C2738,0
CustomerID_C2737,0
CustomerID_C2736,0
CustomerID_C2735,0
CustomerID_C2733,0
CustomerID_C2725,0
CustomerID_C2732,0
CustomerID_C2731,0
CustomerID_C2730,0
CustomerID_C2729,0
CustomerID_C2728,0
CustomerID_C2727,0
CustomerID_C2726,0
CustomerID_C2705,0
CustomerID_C2704,0
CustomerID_C2703,0
CustomerID_C2675,0
CustomerID_C2682,0
CustomerID_C2681,0
CustomerID_C2680,0
CustomerID_C2679,0
CustomerID_C2678,0
CustomerID_C2677,0
CustomerID_C2676,0
CustomerID_C2674,0
CustomerID_C2702,0
CustomerID_C2673,0
CustomerID_C2672,0
CustomerID_C2671,0
CustomerID_C2670,0
CustomerID_C2669,0
CustomerID_C2668,0
CustomerID_C2667,0
CustomerID_C2683,0
CustomerID_C2684,0
CustomerID_C2685,0
CustomerID_C2686,0
CustomerID_C2701,0
CustomerID_C2700,0
CustomerID_C2699,0
CustomerID_C2698,0
CustomerID_C2697,0
CustomerID_C2696,0
CustomerID_C2695,0
CustomerID_C2694,0
CustomerID_C2693,0
CustomerID_C2692,0
CustomerID_C2691,0
CustomerID_C2690,0
CustomerID_C2689,0
